A_00,A_01,A_02,A_03,A_04,A_05,A_06,A_07,A_08,A_09,A_10,A_11,A_12
1030,563,811,740,655,614,537,401,363,226,222,135,101
1060,908,846,592,684,587,510,380,333,244,221,155,111
1060,941,989,599,704,564,471,404,319,383,245,150,106
1020,898,819,566,709,593,498,405,333,292,250,134,73
1090,1070,615,667,720,501,497,418,390,291,219,131,87
1070,1010,750,724,696,470,457,417,291,288,261,146,70
885,1040,650,753,739,491,448,425,351,284,222,140,78
1030,916,814,778,724,574,444,383,331,289,235,148,78
1050,1000,778,723,726,555,397,499,360,330,197,183,85
969,1060,902,758,658,561,420,474,348,337,240,159,71
1050,1010,851,776,732,593,447,411,374,312,216,164,86
