Filename,Particle,Size,SizeSD,Lens,Motion,FPS
A1,Polystyrene,1.053,0.01,Immersion,Brownian,40.85
A2,Polystyrene,1.053,0.01,Immersion,Brownian,80
A3,Polystyrene,1.053,0.01,Immersion,Brownian,68.83
B1,Polystyrene,2.061,0.024,Immersion,Brownian,113.12
B2,Polystyrene,2.061,0.024,Immersion,Brownian,46.21
B3,Polystyrene,2.061,0.024,Immersion,Brownian,46.01
B4,Polystyrene,2.061,0.024,Immersion,Brownian,35.85
B5,Polystyrene,2.061,0.024,Immersion,Brownian,25.76
B6,Polystyrene,2.061,0.024,Immersion,Brownian,100
B7,Polystyrene,2.061,0.024,Immersion,Brownian,83.1
B8,Polystyrene,2.061,0.024,Immersion,Brownian,57.97
B9,Polystyrene,2.061,0.024,Immersion,Brownian,60.86
C1,Polystyrene,2.061,0.024,Immersion,Brownian,
C2,Polystyrene,2.016,0.024,Immersion,Trapped,123.55
C3,Polystyrene,2.061,0.024,Immersion,Trapped,53.31
C4,Polystyrene,2.061,0.024,Immersion,Trapped,73.26
C5,Polystyrene,2.061,0.024,Immersion,Trapped,100
C6,Polystyrene,2.061,0.024,Immersion,Trapped,106.41
D1,Polystyrene,2.061,0.024,Immersion,Brownian,47.48
D2,Polystyrene,2.061,0.024,Immersion,Trapped,
D3,Polystyrene,2.061,0.024,Immersion,Trapped,49.67
D4,Polystyrene,2.061,0.024,Immersion,Brownian,46.6
E1,Silicon,2.01,,Immersion,Trapped,88.99
E2,Silicon,2.01,,Immersion,Trapped,140.23
E3,Silicon,2.01,,Immersion,Trapped,140
E4,Silicon,2.01,,Immersion,Brownian,86.13
E5,Silicon,2.01,,Immersion,Brownian,68.4
E6,Silicon,2.01,,Immersion,Trapped,104.23
F1,Polystyrene,2.061,0.024,Immersion,Brownian,27.81
F2,Polystyrene,2.061,0.024,Immersion,Trapped,98.63
F3,Polystyrene,2.061,0.024,Immersion,Trapped,164.69
F4,Polystyrene,2.061,0.024,Immersion,Trapped,90.26
F5,Polystyrene,2.061,0.024,Immersion,Trapped,75.24
F6,Polystyrene,2.061,0.024,Immersion,Trapped,96.21
F7,Polystyrene,2.061,0.024,Immersion,Trapped,111.61
F8,Polystyrene,2.061,0.024,Immersion,Trapped,117.04
F9,Polystyrene,2.061,0.024,Immersion,Trapped,109.75
F0,Polystyrene,2.061,0.024,Immersion,Trapped,88.52
G_0,Polystyrene,2.061,0.024,Immersion,Trapped,40
G_1,Polystyrene,2.061,0.024,Immersion,Trapped,40
G_2,Polystyrene,2.061,0.024,Immersion,Trapped,40
H_0,Polystyrene,2.061,0.024,Immersion,Trapped,40
H_1,Polystyrene,2.061,0.024,Immersion,Trapped,40
H_2,Polystyrene,2.061,0.024,Immersion,Trapped,40
H_3,Polystyrene,2.061,0.024,Immersion,Trapped,40
H_4,Polystyrene,2.061,0.024,Immersion,Trapped,40
H_5,Polystyrene,2.061,0.024,Immersion,Trapped,20
H_6,Polystyrene,2.061,0.024,Immersion,Trapped,20
H_7,Polystyrene,2.061,0.024,Immersion,Trapped,80
H_8,Polystyrene,2.061,0.024,Immersion,Trapped,80
I_0,Polystyrene,2.061,0.024,Immersion,Trapped,40
I_1,Polystyrene,2.061,0.024,Immersion,Trapped,40
I_2,Polystyrene,2.061,0.024,Immersion,Trapped,40
J_0,Polystyrene,2.061,0.024,Immersion,Trapped,116.95
J_1,Polystyrene,2.061,0.024,Immersion,Trapped,113.55
K_0,Polystyrene,1.053,0.01,Immersion,Trapped,40
K_1,Polystyrene,1.053,0.01,Immersion,Trapped,40
K_2,Polystyrene,1.053,0.01,Immersion,Trapped,40
K_3,Polystyrene,1.053,0.01,Immersion,Trapped,40
K_4,Polystyrene,1.053,0.01,Immersion,Trapped,40
L_0,Polystyrene,0.2,,Immersion,Trapped,38.9
L_1,Polystyrene,0.2,,Immersion,Trapped,20
L_2,Polystyrene,0.2,,Immersion,Brownian,20
